Date,Adj Close,Simple,CC,,,,,,,,,,
3/31/1993,1.13,,,,,,,,,,,,
4/1/1993,1.15,0.01770,0.01754431,1.01754431,,,,,,,,,
5/3/1993,1.43,0.24348,0.217912502,1.217912502,,,,,,,,,
6/1/1993,1.46,0.02098,0.020761991,1.020761991,,,,,,,,,
7/1/1993,1.41,-0.03425,-0.034846731,0.965153269,,,,,,,,,
8/2/1993,1.44,0.02128,0.021053409,1.021053409,,,,,,,,,
9/1/1993,1.63,0.13194,0.123936901,1.123936901,,,,,,,,,
10/1/1993,1.59,-0.02454,-0.024845999,0.975154001,,,,,,,,,
11/1/1993,1.32,-0.16981,-0.18610228,0.81389772,,,,,,,,,
12/1/1993,1.32,0.00000,0,1,,,,,,,,,
1/3/1994,1.43,0.08333,0.080042708,1.080042708,,,,,,,,,
2/1/1994,1.38,-0.03497,-0.035590945,0.964409055,,,,,,,,,
3/1/1994,1.45,0.05072,0.049480057,1.049480057,,,,,,,,,
4/4/1994,1.77,0.22069,0.19941599,1.19941599,,,,,,,,,
5/2/1994,1.69,-0.04520,-0.046251018,0.953748982,,,,,,,,,
6/1/1994,1.5,-0.11243,-0.119263421,0.880736579,,,,,,,,,
7/1/1994,1.72,0.14667,0.136859183,1.136859183,,,,,,,,,
8/1/1994,1.68,-0.02326,-0.023530497,0.976469503,,,,,,,,,
9/1/1994,1.37,-0.18452,-0.203983054,0.796016946,,,,,,,,,
10/3/1994,1.61,0.17518,0.161423439,1.161423439,,,,,,,,,
11/1/1994,1.59,-0.01242,-0.012500163,0.987499837,,,,,,,,,
12/1/1994,1.63,0.02516,0.024845999,1.024845999,,,,,,,,,
1/3/1995,1.43,-0.12270,-0.130905571,0.869094429,,,,,,,,,
2/1/1995,1.42,-0.00699,-0.007017573,0.992982427,,,,,,,,,
3/1/1995,1.43,0.00704,0.007017573,1.007017573,,,,,,,,,
4/3/1995,1.4,-0.02098,-0.021202208,0.978797792,,,,,,,,,
5/1/1995,1.73,0.23571,0.211649172,1.211649172,,,,,,,,,
6/1/1995,2.12,0.22543,0.20329468,1.20329468,,,,,,,,,
7/3/1995,2.22,0.04717,0.046091107,1.046091107,,,,,,,,,
8/1/1995,2.38,0.07207,0.069593292,1.069593292,,,,,,,,,
9/1/1995,2.25,-0.05462,-0.056170271,0.943829729,,,,,,,,,
10/2/1995,2.33,0.03556,0.034938051,1.034938051,,,,,,,,,
11/1/1995,2.51,0.07725,0.074414486,1.074414486,,,,,,,,,
12/1/1995,2.5,-0.00398,-0.003992021,0.996007979,,,,,,,,,
1/2/1996,1.99,-0.20400,-0.228156093,0.771843907,,,,,,,,,
2/1/1996,2.09,0.05025,0.049029427,1.049029427,,,,,,,,,
3/1/1996,2.77,0.32536,0.281683254,1.281683254,,,,,,,,,
4/1/1996,3.22,0.16245,0.150534039,1.150534039,,,,,,,,,
5/1/1996,3.22,0.00000,0,1,,,,,,,,,
6/3/1996,3.36,0.04348,0.042559614,1.042559614,,,,,,,,,
7/1/1996,3.09,-0.08036,-0.083769883,0.916230117,,,,,,,,,
8/1/1996,3.89,0.25890,0.230238067,1.230238067,,,,,,,,,
9/3/1996,3.92,0.00771,0.007682496,1.007682496,,,,,,,,,
10/1/1996,3.86,-0.01531,-0.01542447,0.98457553,,,,,,,,,
11/1/1996,4.12,0.06736,0.06518598,1.06518598,,,,,,,,,
12/2/1996,3.4,-0.17476,-0.192077732,0.807922268,,,,,,,,,
1/2/1997,4.07,0.19706,0.179867568,1.179867568,,,,,,,,,
2/3/1997,4,-0.01720,-0.017348638,0.982651362,,,,,,,,,
3/3/1997,3.52,-0.12000,-0.127833372,0.872166628,,,,,,,,,
4/1/1997,3.55,0.00852,0.008486614,1.008486614,,,,,,,,,
5/1/1997,3.74,0.05352,0.052138008,1.052138008,,,,,,,,,
6/2/1997,4.63,0.23797,0.213471257,1.213471257,,,,,,,,,
7/1/1997,4.87,0.05184,0.050537069,1.050537069,,,,,,,,,
8/1/1997,4.87,0.00000,0,1,,,,,,,,,
9/2/1997,4.97,0.02053,0.020325903,1.020325903,,,,,,,,,
10/1/1997,3.92,-0.21127,-0.237328186,0.762671814,,,,,,,,,
11/3/1997,4.15,0.05867,0.05701668,1.05701668,,,,,,,,,
12/1/1997,4.56,0.09880,0.094214289,1.094214289,,,,,,,,,
1/2/1998,4.35,-0.04605,-0.047146778,0.952853222,,,,,,,,,
2/2/1998,4.7,0.08046,0.077386664,1.077386664,,,,,,,,,
3/2/1998,5.39,0.14681,0.136982876,1.136982876,,,,,,,,,
4/1/1998,5.72,0.06122,0.05942342,1.05942342,,,,,,,,,
5/1/1998,5.71,-0.00175,-0.001749782,0.998250218,,,,,,,,,
6/1/1998,6.35,0.11208,0.106235789,1.106235789,,,,,,,,,
7/1/1998,4.98,-0.21575,-0.243024922,0.756975078,,,,,,,,,
8/3/1998,3.75,-0.24699,-0.283674051,0.716325949,,,,,,,,,
9/1/1998,4.3,0.14667,0.136859183,1.136859183,,,,,,,,,
10/1/1998,5.16,0.20000,0.182321557,1.182321557,,,,,,,,,
11/2/1998,5.48,0.06202,0.060168521,1.060168521,,,,,,,,,
12/1/1998,6.67,0.21715,0.196514759,1.196514759,,,,,,,,,
1/4/1999,6.19,-0.07196,-0.074684773,0.925315227,,,,,,,,,
2/1/1999,6.29,0.01616,0.016025984,1.016025984,,,,,,,,,
3/1/1999,6.67,0.06041,0.058658789,1.058658789,,,,,,,,,
4/1/1999,8.78,0.31634,0.274856548,1.274856548,,,,,,,,,
5/3/1999,8.77,-0.00114,-0.001139601,0.998860399,,,,,,,,,
6/1/1999,8.93,0.01824,0.018079589,1.018079589,,,,,,,,,
7/1/1999,5.53,-0.38074,-0.479228579,0.520771421,,,,,,,,,
8/2/1999,5.44,-0.01627,-0.016408755,0.983591245,,,,,,,,,
9/1/1999,5.89,0.08272,0.079476937,1.079476937,,,,,,,,,
10/1/1999,6.46,0.09677,0.09237332,1.09237332,,,,,,,,,
11/1/1999,6.31,-0.02322,-0.023493641,0.976506359,,,,,,,,,
12/1/1999,5.76,-0.08716,-0.091198202,0.908801798,,,,,,,,,
1/3/2000,7.61,0.32118,0.278525697,1.278525697,,,,,,,,,
2/1/2000,8.35,0.09724,0.092798367,1.092798367,,,,,,,,,
3/1/2000,10.65,0.27545,0.243298353,1.243298353,,,,,,,,,
4/3/2000,7.19,-0.32488,-0.39286872,0.60713128,,,,,,,,,
