"","Year","Mileage","Price","Color","Location","Model","Age"
"1",1990,NA,1600,NA,"Phoenix",NA,19
"2",1994,94000,1988,"white","Phoenix","GL",15
"3",1995,NA,2288,"white","Phoenix",NA,14
"4",1995,68000,2495,NA,"Phoenix",NA,14
"5",1995,NA,1995,NA,"Phoenix","GL",14
"6",1996,115730,2199,"beige","Phoenix","GL",13
"7",1997,74564,2995,"green","Phoenix","GL",12
"8",1998,143000,1200,"blue","Fresno","SE",11
"9",1998,91000,2488,"red","Phoenix",NA,11
"10",1999,88000,3300,"white","Phoenix",NA,10
"11",1999,85000,2488,"white","Phoenix","SE",10
"12",2000,94727,3879,"gray","Phoenix","SES",9
"13",2000,115123,2995,"white","Phoenix","SE",9
"14",2000,99000,2988,"gray","Phoenix","SES",9
"15",2000,NA,2488,"white","Phoenix","SES",9
"16",2001,NA,2988,"red","Phoenix","SES",8
"17",2002,NA,2800,"blue","Phoenix","SE",7
"18",2002,54631,7599,"red","Phoenix","SE",7
"19",2002,NA,2788,"gray","Phoenix","SEL",7
"20",2002,NA,3488,"gray","Phoenix","SE",7
"21",2002,121164,4599,"beige","Phoenix","SES",7
"22",2002,NA,3488,"white","Phoenix","SE",7
"23",2003,68923,7900,"gray","Phoenix","SES",6
"24",2003,80267,6491,"white","Phoenix","SES",6
"25",2003,NA,4500,NA,"Phoenix","SE",6
"26",2004,71958,8995,"gray","Fresno","SES",5
"27",2004,76814,6695,"blue","Phoenix","SES",5
"28",2004,20581,9998,"blue","Phoenix","SE",5
"29",2004,45800,7200,"blue","Phoenix","SE",5
"30",2004,101260,4975,"blue","Phoenix","SE",5
"31",2004,NA,3495,"gold","Phoenix","SE",5
"32",2004,53500,6345,"green","Phoenix","LX",5
"33",2004,88324,5977,"green","Phoenix","SES",5
"34",2004,52939,6999,"white","Phoenix","SE",5
"35",2004,NA,3695,"white","Phoenix","SE",5
"36",2005,56297,9599,"white","Fresno","SE",4
"37",2005,41928,9998,"white","Fresno","SEL",4
"38",2005,47242,8398,"beige","Phoenix","SEL",4
"39",2005,127000,4295,"black","Phoenix","SE",4
"40",2005,NA,8497,"blue","Phoenix","SEL",4
"41",2005,53797,6590,"gray","Phoenix","SE",4
"42",2005,53797,6590,"gray","Phoenix","SE",4
"43",2005,53090,6991,"green","Phoenix","SE",4
"44",2005,38766,6982,"green","Phoenix","SEL",4
"45",2005,66098,5999,"green","Phoenix","SE",4
"46",2005,45209,8725,"gray","Phoenix","SEL",4
"47",2005,93619,NA,"gray","Phoenix","SE",4
"48",2005,68176,8294,"blue","Phoenix","SEL",4
