"Date","Time","Open","High","Low","Close"
2016-11-14,09:05:00,10.38,10.38,10.21,10.22
2016-11-14,09:10:00,10.12,10.22,10.12,10.22
2016-11-14,09:15:00,10.18,10.22,10.15,10.22
2016-11-14,09:20:00,10.09,10.22,10.07,10.22
2016-11-14,09:25:00,10.22,10.22,10.21,10.22
2016-11-14,09:30:00,10.16,10.22,10.15,10.22
2016-11-14,09:35:00,10.26,10.26,10.22,10.22
2016-11-14,09:40:00,10.21,10.22,10.16,10.21
2016-11-14,09:45:00,10.35,10.38,10.2,10.21
2016-11-14,09:50:00,10.19,10.2,10.15,10.15
2016-11-14,09:55:00,10.08,10.15,10.08,10.15
2016-11-14,10:00:00,10.14,10.16,10.1,10.16
2016-11-14,10:10:00,10.25,10.25,9.83,10.11
2016-11-14,10:15:00,10.15,10.23,10.08,10.1
2016-11-14,10:20:00,9.9,10.12,9.9,10.07
2016-11-14,10:25:00,10.23,10.38,10.07,10.07
2016-11-14,10:30:00,9.93,9.97,9.93,9.97
2016-11-14,10:35:00,9.98,9.98,9.85,9.97
2016-11-14,10:40:00,9.8,10.13,9.8,9.97
2016-11-14,10:45:00,9.89,9.98,9.88,9.97
2016-11-14,10:50:00,9.95,10,9.95,9.97
2016-11-14,10:55:00,10.03,10.03,9.94,9.97
2016-11-14,11:00:00,9.95,9.97,9.93,9.97
2016-11-14,11:05:00,9.93,10,9.92,9.98
2016-11-14,11:10:00,9.99,10.16,9.98,9.98
2016-11-14,11:20:00,9.92,10.09,9.92,9.95
2016-11-14,11:25:00,9.96,10.06,9.91,9.95
2016-11-14,11:30:00,9.84,9.9,9.84,9.89
2016-11-14,11:35:00,9.79,9.93,9.76,9.89
2016-11-14,11:40:00,10,10,9.85,9.85
2016-11-14,11:45:00,9.8,9.8,9.73,9.73
2016-11-14,11:50:00,9.49,9.65,9.49,9.65
2016-11-14,11:55:00,9.77,9.77,9.57,9.65
2016-11-14,12:00:00,9.48,9.57,9.43,9.49
2016-11-14,12:05:00,9.33,9.34,9.31,9.34
2016-11-14,12:10:00,9.38,9.39,9.34,9.34
2016-11-14,12:15:00,9.27,9.27,9.26,9.27
2016-11-14,12:20:00,9.23,9.26,9.23,9.26
2016-11-14,12:25:00,9.25,9.25,9.19,9.23
2016-11-14,12:30:00,9.28,9.28,9.2,9.2
2016-11-14,12:35:00,9.09,9.13,9.08,9.09
2016-11-14,12:40:00,9.09,9.09,9.09,9.09
2016-11-14,12:45:00,9.01,9.04,9.01,9.04
2016-11-14,12:50:00,9.13,9.13,9.04,9.04
2016-11-14,12:55:00,8.89,8.89,8.73,8.89
2016-11-14,13:00:00,8.88,8.88,8.88,8.88
2016-11-14,13:05:00,8.91,8.93,8.85,8.88
2016-11-14,13:10:00,8.83,8.83,8.75,8.77
2016-11-14,13:15:00,8.66,8.77,8.66,8.77
2016-11-14,13:20:00,9.01,9.01,8.78,8.78
2016-11-14,13:35:00,8.63,8.69,8.63,8.64
2016-11-14,13:45:00,8.54,8.54,8.49,8.51
2016-11-14,13:50:00,8.57,8.57,8.43,8.45
2016-11-14,13:55:00,8.29,8.32,8.28,8.28
2016-11-14,14:00:00,8.15,8.17,8.05,8.12
2016-11-14,14:05:00,7.97,7.97,7.97,7.97
2016-11-14,14:10:00,8.04,8.05,7.97,7.97
2016-11-14,14:15:00,7.81,7.81,7.8,7.8
2016-11-14,14:20:00,7.81,7.81,7.8,7.8
2016-11-14,14:25:00,7.76,7.77,7.76,7.77
2016-11-14,14:30:00,7.81,7.81,7.78,7.78
2016-11-14,14:40:00,7.55,7.55,7.55,7.55
2016-11-14,14:50:00,7.44,7.44,7.44,7.44
2016-11-14,14:55:00,7.49,7.49,7.44,7.44
2016-11-14,15:00:00,7.31,7.32,7.27,7.32
2016-11-14,15:05:00,7.24,7.24,7.23,7.23
2016-11-14,15:10:00,7.25,7.25,7.2,7.21
2016-11-14,15:15:00,7.21,7.25,7.21,7.21
2016-11-14,15:20:00,7.2,7.26,7.2,7.21
2016-11-14,15:30:00,7.24,7.26,7.21,7.21
2016-11-14,15:35:00,7.22,7.26,7.2,7.21
2016-11-14,15:40:00,7.22,7.22,7.18,7.18
2016-11-14,15:45:00,7.19,7.19,7.18,7.18
2016-11-14,15:55:00,7.23,7.29,7.17,7.18
2016-11-14,16:00:00,6.84,6.84,6.84,6.84
2016-11-14,16:05:00,6.72,6.85,6.72,6.84
2016-11-14,16:10:00,6.82,6.82,6.52,6.78
2016-11-14,16:15:00,6.75,6.76,6.68,6.7
2016-11-14,16:20:00,6.34,6.53,6.34,6.53
2016-11-14,16:25:00,6.54,6.62,6.54,6.54
2016-11-14,16:30:00,6.08,6.08,5.98,5.98
2016-11-14,16:35:00,5.43,5.5,5.43,5.5
2016-11-14,16:40:00,5.3,5.65,5.3,5.5
2016-11-14,16:45:00,6.08,6.08,5.51,5.51
2016-11-14,16:50:00,3.85,3.9,3.85,3.86
2016-11-14,16:55:00,3.75,3.75,3.69,3.74
2016-11-14,17:00:00,3.54,3.77,3.54,3.74
